  PID TTY      STAT   TIME COMMAND
 1891 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1862x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1862/2
 1901 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory
 1903 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1862x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1862/3
 1923 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1901x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1901/2
 2007 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
 2027 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-metadata
 2055 ?        Sl     0:01 zeitgeist-datahub
 2062 ?        S      0:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
 2066 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
 2073 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
 2133 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-network --spawner :1.4 /org/gtk/gvfs/exec_spaw/5
 2145 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-smb-browse --spawner :1.4 /org/gtk/gvfs/exec_spaw/7
 2147 ?        Sl     0:19 gedit /home/mohit_linux/Desktop/OS_PROG/prog1.c
 2179 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.4 /org/gtk/gvfs/exec_spaw/8
 2214 ?        Sl     0:00 update-notifier
 2246 ?        Sl     0:13 /usr/lib/gnome-terminal/gnome-terminal-server
 2253 pts/4    Ss     0:00 bash
 2272 pts/6    Ss     0:00 bash
 2313 pts/20   Ss     0:00 bash
 2323 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
 6114 pts/11   Ss     0:00 bash
 8056 ?        S      0:01 [kworker/u8:1]
 8065 ?        S      0:00 [kworker/0:1]
 8103 ?        S      0:00 [kworker/2:1]
 8111 ?        S      0:00 [kworker/u8:2]
 8114 ?        S      0:00 [kworker/1:1]
 8117 ?        S      0:00 [kworker/2:0]
 8135 ?        S      0:00 [kworker/2:2]
 8139 ?        S      0:00 [kworker/u8:3]
 8144 ?        S      0:00 [kworker/3:2]
11578 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
11589 ?        Sl     0:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
11591 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
20379 ?        S      0:00 [kworker/0:0]
20380 ?        S      0:00 [kworker/1:0]
20399 pts/4    R+     0:00 ./prog1
20400 pts/4    R+     0:00 ./prog1
20401 pts/4    R+     0:00 ./prog1
20402 pts/4    R+     0:00 ./prog1
20403 pts/4    R+     0:00 ./prog1
20404 pts/4    R+     0:00 ./prog1
20405 pts/4    R+     0:00 ./prog1
20406 pts/4    R+     0:00 ./prog1
20407 pts/4    R+     0:00 ./prog1
20408 pts/4    R+     0:00 ./prog1
20409 pts/4    R+     0:00 ./prog1
20410 pts/4    R+     0:00 ./prog1
20411 pts/4    R+     0:00 ./prog1
20412 pts/4    R+     0:00 ./prog1
20413 pts/4    R+     0:00 ./prog1
20414 pts/4    R+     0:00 ./prog1
20415 pts/4    R+     0:00 ./prog1
20416 pts/4    R+     0:00 ./prog1
20417 pts/4    R+     0:00 ./prog1
20418 pts/4    R+     0:00 ./prog1
20419 pts/4    R+     0:00 ./prog1
20420 pts/4    R+     0:00 ./prog1
20421 pts/4    R+     0:00 ./prog1
20422 pts/4    R+     0:00 ./prog1
20423 pts/4    R+     0:00 ./prog1
20424 pts/4    R+     0:00 ./prog1
20425 pts/4    R+     0:00 ./prog1
20426 pts/4    R+     0:00 ./prog1
20427 pts/4    R+     0:00 ./prog1
20428 pts/4    R+     0:00 ./prog1
20429 pts/4    R+     0:00 ./prog1
20430 pts/4    R+     0:00 ./prog1
20431 pts/4    R+     0:00 ./prog1
20432 pts/4    R+     0:00 ./prog1
20433 pts/4    R+     0:00 ./prog1
20434 pts/4    R+     0:00 ./prog1
20435 pts/4    R+     0:00 ./prog1
20436 pts/4    R+     0:00 ./prog1
20437 pts/4    R+     0:00 ./prog1
20438 pts/4    R+     0:00 ./prog1
20439 pts/4    R+     0:00 ./prog1
20440 pts/4    R+     0:00 ./prog1
20441 pts/4    R+     0:00 ./prog1
20442 pts/4    R+     0:00 ./prog1
20443 pts/4    R+     0:00 ./prog1
20444 pts/4    R+     0:00 ./prog1
20445 pts/4    R+     0:00 ./prog1
20446 pts/4    R+     0:00 ./prog1
20447 pts/4    R+     0:00 ./prog1
20448 pts/4    R+     0:00 ./prog1
20449 pts/4    R+     0:00 ./prog1
20450 pts/4    R+     0:00 ./prog1
20451 pts/4    R+     0:00 ./prog1
20452 pts/4    R+     0:00 ./prog1
20453 pts/4    R+     0:00 ./prog1
20454 pts/4    R+     0:00 ./prog1
20455 pts/4    R+     0:00 ./prog1
20456 pts/4    R+     0:00 ./prog1
20457 pts/4    R+     0:00 ./prog1
20458 pts/4    R+     0:00 ./prog1
20459 pts/4    R+     0:00 ./prog1
20460 pts/4    R+     0:00 ./prog1
20461 pts/4    R+     0:00 ./prog1
20462 pts/4    R+     0:00 ./prog1
20463 pts/4    R+     0:00 ./prog1
20464 pts/4    R+     0:00 ./prog1
20465 pts/4    R+     0:00 ./prog1
20466 pts/4    R+     0:00 ./prog1
20467 pts/4    R+     0:00 ./prog1
20468 pts/4    R+     0:00 ./prog1
20469 pts/4    R+     0:00 ./prog1
20470 pts/4    R+     0:00 ./prog1
20471 pts/4    R+     0:00 ./prog1
20472 pts/4    R+     0:00 ./prog1
20473 pts/4    R+     0:00 ./prog1
20474 pts/4    R+     0:00 ./prog1
20475 pts/4    R+     0:00 ./prog1
20476 pts/4    R+     0:00 ./prog1
20477 pts/4    R+     0:00 ./prog1
20478 pts/4    R+     0:00 ./prog1
20479 pts/4    R+     0:00 ./prog1
20480 pts/4    R+     0:00 ./prog1
20481 pts/4    R+     0:00 ./prog1
20482 pts/4    R+     0:00 ./prog1
20483 pts/4    R+     0:00 ./prog1
20484 pts/4    R+     0:00 ./prog1
20485 pts/4    R+     0:00 ./prog1
20486 pts/4    R+     0:00 ./prog1
20487 pts/4    R+     0:00 ./prog1
20488 pts/4    R+     0:00 ./prog1
20489 pts/4    R+     0:00 ./prog1
20490 pts/4    R+     0:00 ./prog1
20491 pts/4    R+     0:00 ./prog1
20492 pts/4    R+     0:00 ./prog1
20493 pts/4    R+     0:00 ./prog1
20494 pts/4    R+     0:00 ./prog1
20495 pts/4    R+     0:00 ./prog1
20496 pts/4    R+     0:00 ./prog1
20497 pts/4    R+     0:00 ./prog1
20498 pts/4    R+     0:00 ./prog1
20499 pts/4    R+     0:00 ./prog1
20500 pts/4    R+     0:00 ./prog1
20501 pts/4    R+     0:00 ./prog1
20502 pts/4    R+     0:00 ./prog1
20503 pts/4    R+     0:00 ./prog1
20504 pts/4    R+     0:00 ./prog1
20505 pts/4    R+     0:00 ./prog1
20506 pts/4    R+     0:00 ./prog1
20507 pts/4    R+     0:00 ./prog1
