 2147 ?        Sl     0:06 gedit /home/mohit_linux/Desktop/OS_PROG/prog1.c
24290 pts/4    R+     0:00 ./prog1
24291 pts/4    R+     0:00 ./prog1
24292 pts/4    R+     0:00 ./prog1
24293 pts/4    R+     0:00 ./prog1
24294 pts/4    R+     0:00 ./prog1
24295 pts/4    R+     0:00 ./prog1
24296 pts/4    R+     0:00 ./prog1
24297 pts/4    R+     0:00 ./prog1
24298 pts/4    R+     0:00 ./prog1
24299 pts/4    R+     0:00 ./prog1
24300 pts/4    R+     0:00 ./prog1
24301 pts/4    R+     0:00 ./prog1
24302 pts/4    R+     0:00 ./prog1
24303 pts/4    R+     0:00 ./prog1
24304 pts/4    R+     0:00 ./prog1
24305 pts/4    R+     0:00 ./prog1
24306 pts/4    R+     0:00 ./prog1
24307 pts/4    R+     0:00 ./prog1
24308 pts/4    R+     0:00 ./prog1
24309 pts/4    R+     0:00 ./prog1
24310 pts/4    R+     0:00 ./prog1
24311 pts/4    R+     0:00 ./prog1
24312 pts/4    R+     0:00 ./prog1
24313 pts/4    R+     0:00 ./prog1
24314 pts/4    R+     0:00 ./prog1
24315 pts/4    R+     0:00 ./prog1
24316 pts/4    R+     0:00 ./prog1
24317 pts/4    R+     0:00 ./prog1
24318 pts/4    R+     0:00 ./prog1
24319 pts/4    R+     0:00 ./prog1
24320 pts/4    R+     0:00 ./prog1
24321 pts/4    R+     0:00 ./prog1
24322 pts/4    R+     0:00 ./prog1
24323 pts/4    R+     0:00 ./prog1
24324 pts/4    R+     0:00 ./prog1
24325 pts/4    R+     0:00 ./prog1
24326 pts/4    R+     0:00 ./prog1
24327 pts/4    R+     0:00 ./prog1
24328 pts/4    R+     0:00 ./prog1
24329 pts/4    R+     0:00 ./prog1
24330 pts/4    R+     0:00 ./prog1
24331 pts/4    R+     0:00 ./prog1
24332 pts/4    R+     0:00 ./prog1
24333 pts/4    R+     0:00 ./prog1
24334 pts/4    R+     0:00 ./prog1
24335 pts/4    R+     0:00 ./prog1
24336 pts/4    R+     0:00 ./prog1
24337 pts/4    R+     0:00 ./prog1
24338 pts/4    R+     0:00 ./prog1
24339 pts/4    R+     0:00 ./prog1
24340 pts/4    R+     0:00 ./prog1
24341 pts/4    R+     0:00 ./prog1
24342 pts/4    R+     0:00 ./prog1
24343 pts/4    R+     0:00 ./prog1
24344 pts/4    R+     0:00 ./prog1
24345 pts/4    R+     0:00 ./prog1
24346 pts/4    R+     0:00 ./prog1
24347 pts/4    R+     0:00 ./prog1
24348 pts/4    R+     0:00 ./prog1
24349 pts/4    R+     0:00 ./prog1
24350 pts/4    R+     0:00 ./prog1
24351 pts/4    R+     0:00 ./prog1
24352 pts/4    R+     0:00 ./prog1
24353 pts/4    R+     0:00 ./prog1
24354 pts/4    R+     0:00 ./prog1
24355 pts/4    R+     0:00 ./prog1
24356 pts/4    R+     0:00 ./prog1
24357 pts/4    R+     0:00 ./prog1
24358 pts/4    R+     0:00 ./prog1
24359 pts/4    R+     0:00 ./prog1
24360 pts/4    R+     0:00 ./prog1
24361 pts/4    R+     0:00 ./prog1
24362 pts/4    R+     0:00 ./prog1
24363 pts/4    R+     0:00 ./prog1
24364 pts/4    R+     0:00 ./prog1
24365 pts/4    R+     0:00 ./prog1
24366 pts/4    R+     0:00 ./prog1
24367 pts/4    R+     0:00 ./prog1
24368 pts/4    R+     0:00 ./prog1
24369 pts/4    R+     0:00 ./prog1
24370 pts/4    R+     0:00 ./prog1
24371 pts/4    R+     0:00 ./prog1
24372 pts/4    R+     0:00 ./prog1
24373 pts/4    R+     0:00 ./prog1
24374 pts/4    R+     0:00 ./prog1
24375 pts/4    R+     0:00 ./prog1
24376 pts/4    R+     0:00 ./prog1
24377 pts/4    R+     0:00 ./prog1
24378 pts/4    R+     0:00 ./prog1
24379 pts/4    R+     0:00 ./prog1
24380 pts/4    R+     0:00 ./prog1
24381 pts/4    R+     0:00 ./prog1
24382 pts/4    R+     0:00 ./prog1
24383 pts/4    R+     0:00 ./prog1
24384 pts/4    R+     0:00 ./prog1
24385 pts/4    R+     0:00 ./prog1
24386 pts/4    R+     0:00 ./prog1
24387 pts/4    R+     0:00 ./prog1
24388 pts/4    R+     0:00 ./prog1
24389 pts/4    R+     0:00 ./prog1
24390 pts/4    R+     0:00 ./prog1
24391 pts/4    R+     0:00 ./prog1
24392 pts/4    R+     0:00 ./prog1
24393 pts/4    R+     0:00 ./prog1
24394 pts/4    R+     0:00 ./prog1
24395 pts/4    R+     0:00 ./prog1
24396 pts/4    R+     0:00 ./prog1
24397 pts/4    R+     0:00 ./prog1
24398 pts/4    R+     0:00 ./prog1
24399 pts/4    R+     0:00 ./prog1
24400 pts/4    R+     0:00 ./prog1
24401 pts/4    R+     0:00 ./prog1
24402 pts/4    R+     0:00 ./prog1
24403 pts/4    R+     0:00 ./prog1
24404 pts/4    R+     0:00 ./prog1
24405 pts/4    R+     0:00 ./prog1
24406 pts/4    R+     0:00 ./prog1
24407 pts/4    R+     0:00 ./prog1
24408 pts/4    R+     0:00 ./prog1
24409 pts/4    R+     0:00 ./prog1
24410 pts/4    R+     0:00 ./prog1
24411 pts/4    R+     0:00 ./prog1
24412 pts/4    R+     0:00 ./prog1
24413 pts/4    R+     0:00 ./prog1
24414 pts/4    R+     0:00 ./prog1
24415 pts/4    R+     0:00 ./prog1
24416 pts/4    R+     0:00 ./prog1
24417 pts/4    R+     0:00 ./prog1
24418 pts/4    R+     0:00 ./prog1
24419 pts/4    R+     0:00 ./prog1
24420 pts/4    R+     0:00 ./prog1
24421 pts/4    R+     0:00 ./prog1
24422 pts/4    R+     0:00 ./prog1
24423 pts/4    R+     0:00 ./prog1
24424 pts/4    R+     0:00 ./prog1
24425 pts/4    R+     0:00 ./prog1
24426 pts/4    R+     0:00 ./prog1
24427 pts/4    R+     0:00 ./prog1
24428 pts/4    R+     0:00 ./prog1
24429 pts/4    R+     0:00 ./prog1
24430 pts/4    R+     0:00 ./prog1
24431 pts/4    R+     0:00 ./prog1
24432 pts/4    R+     0:00 ./prog1
24433 pts/4    R+     0:00 ./prog1
24434 pts/4    R+     0:00 ./prog1
24435 pts/4    R+     0:00 ./prog1
24436 pts/4    R+     0:00 ./prog1
24437 pts/4    R+     0:00 ./prog1
24438 pts/4    R+     0:00 ./prog1
24439 pts/4    R+     0:00 ./prog1
24440 pts/4    R+     0:00 ./prog1
24441 pts/4    R+     0:00 ./prog1
24442 pts/4    R+     0:00 ./prog1
24443 pts/4    R+     0:00 ./prog1
24444 pts/4    R+     0:00 ./prog1
24445 pts/4    R+     0:00 ./prog1
24446 pts/4    R+     0:00 ./prog1
24447 pts/4    R+     0:00 ./prog1
24448 pts/4    R+     0:00 ./prog1
24449 pts/4    R+     0:00 ./prog1
24450 pts/4    R+     0:00 ./prog1
24451 pts/4    R+     0:00 ./prog1
24452 pts/4    R+     0:00 ./prog1
24453 pts/4    R+     0:00 ./prog1
24454 pts/4    R+     0:00 ./prog1
24455 pts/4    R+     0:00 ./prog1
24456 pts/4    R+     0:00 ./prog1
24457 pts/4    R+     0:00 ./prog1
24458 pts/4    R+     0:00 ./prog1
24459 pts/4    R+     0:00 ./prog1
24460 pts/4    R+     0:00 ./prog1
24461 pts/4    R+     0:00 ./prog1
24462 pts/4    R+     0:00 ./prog1
24463 pts/4    R+     0:00 ./prog1
24464 pts/4    R+     0:00 ./prog1
24465 pts/4    R+     0:00 ./prog1
24466 pts/4    R+     0:00 ./prog1
24467 pts/4    R+     0:00 ./prog1
24468 pts/4    R+     0:00 ./prog1
24469 pts/4    R+     0:00 ./prog1
24470 pts/4    R+     0:00 ./prog1
24471 pts/4    R+     0:00 ./prog1
24472 pts/4    R+     0:00 ./prog1
24473 pts/4    R+     0:00 ./prog1
24474 pts/4    R+     0:00 ./prog1
24475 pts/4    R+     0:00 ./prog1
24476 pts/4    R+     0:00 ./prog1
24477 pts/4    R+     0:00 ./prog1
24478 pts/4    R+     0:00 ./prog1
24479 pts/4    R+     0:00 ./prog1
24480 pts/4    R+     0:00 ./prog1
24481 pts/4    R+     0:00 ./prog1
24482 pts/4    R+     0:00 ./prog1
24483 pts/4    R+     0:00 ./prog1
24484 pts/4    R+     0:00 ./prog1
24485 pts/4    R+     0:00 ./prog1
24486 pts/4    R+     0:00 ./prog1
24487 pts/4    R+     0:00 ./prog1
24488 pts/4    R+     0:00 ./prog1
24489 pts/4    R+     0:00 ./prog1
24490 pts/4    R+     0:00 ./prog1
24491 pts/4    R+     0:00 ./prog1
24492 pts/4    R+     0:00 ./prog1
24493 pts/4    R+     0:00 ./prog1
24494 pts/4    R+     0:00 ./prog1
24495 pts/4    R+     0:00 ./prog1
24496 pts/4    R+     0:00 ./prog1
24497 pts/4    R+     0:00 ./prog1
24498 pts/4    R+     0:00 ./prog1
24499 pts/4    R+     0:00 ./prog1
24500 pts/4    R+     0:00 ./prog1
24501 pts/4    R+     0:00 ./prog1
24502 pts/4    R+     0:00 ./prog1
24503 pts/4    R+     0:00 ./prog1
24504 pts/4    R+     0:00 ./prog1
24505 pts/4    R+     0:00 ./prog1
24506 pts/4    R+     0:00 ./prog1
24507 pts/4    R+     0:00 ./prog1
24508 pts/4    R+     0:00 ./prog1
24509 pts/4    R+     0:00 ./prog1
24510 pts/4    R+     0:00 ./prog1
24511 pts/4    R+     0:00 ./prog1
24512 pts/4    R+     0:00 ./prog1
24513 pts/4    R+     0:00 ./prog1
24514 pts/4    R+     0:00 ./prog1
24515 pts/4    R+     0:00 ./prog1
24516 pts/4    R+     0:00 ./prog1
24517 pts/4    R+     0:00 ./prog1
24518 pts/4    R+     0:00 ./prog1
24519 pts/4    R+     0:00 ./prog1
24520 pts/4    R+     0:00 ./prog1
24521 pts/4    R+     0:00 ./prog1
24522 pts/4    R+     0:00 ./prog1
24523 pts/4    R+     0:00 ./prog1
24524 pts/4    R+     0:00 ./prog1
24525 pts/4    R+     0:00 ./prog1
24526 pts/4    R+     0:00 ./prog1
24527 pts/4    R+     0:00 ./prog1
24528 pts/4    R+     0:00 ./prog1
24529 pts/4    R+     0:00 ./prog1
24530 pts/4    R+     0:00 ./prog1
24531 pts/4    R+     0:00 ./prog1
24532 pts/4    R+     0:00 ./prog1
24533 pts/4    R+     0:00 ./prog1
24534 pts/4    R+     0:00 ./prog1
24535 pts/4    R+     0:00 ./prog1
24536 pts/4    R+     0:00 ./prog1
24537 pts/4    R+     0:00 ./prog1
24538 pts/4    R+     0:00 ./prog1
24539 pts/4    R+     0:00 ./prog1
24540 pts/4    R+     0:00 ./prog1
24541 pts/4    R+     0:00 ./prog1
24542 pts/4    R+     0:00 ./prog1
24543 pts/4    R+     0:00 ./prog1
24544 pts/4    R+     0:00 ./prog1
24545 pts/4    R+     0:00 ./prog1
24546 pts/4    R+     0:00 ./prog1
24547 pts/4    R+     0:00 ./prog1
24548 pts/4    R+     0:00 ./prog1
24549 pts/4    R+     0:00 ./prog1
24550 pts/4    R+     0:00 ./prog1
24551 pts/4    R+     0:00 ./prog1
24552 pts/4    R+     0:00 ./prog1
24553 pts/4    R+     0:00 ./prog1
24554 pts/4    R+     0:00 ./prog1
24555 pts/4    R+     0:00 ./prog1
24556 pts/4    R+     0:00 ./prog1
24557 pts/4    R+     0:00 ./prog1
24558 pts/4    R+     0:00 ./prog1
24559 pts/4    R+     0:00 ./prog1
24560 pts/4    R+     0:00 ./prog1
24561 pts/4    R+     0:00 ./prog1
24562 pts/4    R+     0:00 ./prog1
24563 pts/4    R+     0:00 ./prog1
